# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
3.96          	(1.997702e+00 5.793004e-01 -8.298837e-24)
3.97          	(2.003319e+00 6.010622e-01 5.143280e-23)
3.98          	(2.000137e+00 -1.579305e-01 1.383454e-23)
3.99          	(1.998731e+00 -5.622065e-01 1.252722e-23)
4             	(1.998800e+00 -6.530501e-01 1.387267e-23)
4.01          	(2.002080e+00 -1.079671e-01 1.874387e-23)
4.02          	(1.999433e+00 5.281294e-01 -1.489775e-23)
4.03          	(2.001349e+00 6.612632e-01 5.129863e-23)
4.04          	(2.001157e+00 1.470803e-01 1.846878e-23)
4.05          	(2.000121e+00 -4.726202e-01 1.405318e-23)
4.06          	(1.997581e+00 -6.792212e-01 6.578370e-24)
4.07          	(2.003230e+00 -3.937621e-01 2.686754e-23)
4.08          	(2.000324e+00 3.548531e-01 -2.358372e-24)
4.09          	(1.996791e+00 5.955243e-01 8.352221e-24)
4.1           	(2.002336e+00 4.564584e-01 4.048365e-23)
4.11          	(1.999742e+00 -2.996207e-01 1.382227e-23)
4.12          	(1.997447e+00 -6.145146e-01 9.780434e-24)
4.13          	(2.003162e+00 -6.124927e-01 2.202669e-23)
4.14          	(2.001564e+00 6.156827e-02 1.230434e-23)
4.15          	(1.997791e+00 5.594463e-01 -1.445535e-23)
4.16          	(2.003046e+00 6.581945e-01 5.645359e-23)
4.17          	(2.000059e+00 -4.222710e-02 1.464872e-23)
4.18          	(1.999157e+00 -5.283285e-01 1.396564e-23)
4.19          	(1.996976e+00 -6.652480e-01 1.007023e-23)
4.2           	(2.002167e+00 -2.342941e-01 2.351412e-23)
4.21          	(2.000281e+00 4.884587e-01 -1.068404e-23)
4.22          	(1.997854e+00 6.367295e-01 3.537111e-23)
4.23          	(2.001495e+00 2.804459e-01 2.785363e-23)
4.24          	(1.999843e+00 -4.082902e-01 1.405318e-23)
4.25          	(1.997172e+00 -6.579355e-01 7.528930e-24)
4.26          	(2.004357e+00 -4.992313e-01 2.714432e-23)
4.27          	(2.000488e+00 2.405298e-01 4.579215e-24)
4.28          	(1.997458e+00 5.734160e-01 -4.432250e-24)
4.29          	(2.002773e+00 5.659259e-01 4.854736e-23)
4.3           	(1.999451e+00 -2.067256e-01 1.349280e-23)
